Domain Code,Domain,Survey Code,Survey,Geographic Level Code,Geographic Level,Food Group Code,Food Group,Indicator Code,Indicator,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3303","Protein apparent intake","61231","Confidence interval: Lower bound","g/cap/d","54.9","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3303","Protein apparent intake","61232","Confidence interval: Upper bound","g/cap/d","55.5","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3304","Fat apparent intake","6123A","Average","g/cap/d","41.3","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3304","Fat apparent intake","61231","Confidence interval: Lower bound","g/cap/d","40.7","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3304","Fat apparent intake","61232","Confidence interval: Upper bound","g/cap/d","41.8","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3305","Carbohydrate (available) apparent intake","6123A","Average","g/cap/d","355.9","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3305","Carbohydrate (available) apparent intake","61231","Confidence interval: Lower bound","g/cap/d","353.9","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3305","Carbohydrate (available) apparent intake","61232","Confidence interval: Upper bound","g/cap/d","357.8","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3306","Dietary Fibre apparent intake","6123A","Average","g/cap/d","41.2","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3306","Dietary Fibre apparent intake","61231","Confidence interval: Lower bound","g/cap/d","40.8","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3306","Dietary Fibre apparent intake","61232","Confidence interval: Upper bound","g/cap/d","41.5","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3307","Calcium apparent intake","6209A","Average","mg/cap/d","457","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3307","Calcium apparent intake","62091","Confidence interval: Lower bound","mg/cap/d","452","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3307","Calcium apparent intake","62092","Confidence interval: Upper bound","mg/cap/d","462","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3308","Iron apparent intake","6209A","Average","mg/cap/d","16.2","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
"HCES","Apparent intake (based on household consumption and expenditure surveys)","356_2012","India - 2012","10001","Urban","FG0","All food groups","3308","Iron apparent intake","62091","Confidence interval: Lower bound","mg/cap/d","16.1","E","Estimated value","Socio Economic Survey, Sixty-Eighth Round, July 2011 - June 2012."
